K,rho,r_50,r_75,r_95
2,0.66,4.84428272966576,5.97130000633802,7.84780055188092
2,0.67,4.72238464343564,5.82208119779072,7.65140196558038
2,0.68,4.59925282159471,5.67128737684793,7.45295617037102
2,0.69,4.47800053724457,5.52243103742112,7.25245959063058
2,0.7,4.35230318973462,5.36837414512563,7.05387424297624
2,0.71,4.22829452102959,5.21273471770092,6.84914143839917
2,0.72,4.1000250097922,5.0587067726925,6.642346489457
2,0.73,3.97325148010896,4.89978763503119,6.4370790665844
2,0.74,3.84240311860949,4.7392783783346,6.22602332299878
2,0.75,3.71031108534265,4.58004984371961,6.01289400359643
2,0.76,3.57942226574817,4.41624412721209,5.79768747484631
2,0.77,3.44474169576824,4.25084065110198,5.58348818112
2,0.78,3.30881321853031,4.08638240051157,5.36398829304952
2,0.79,3.1737912119636,3.91766561272436,5.14523201923582
2,0.8,3.03526441081073,3.74734337225703,4.92142181488358
2,0.81,2.89744418098022,3.57762614844317,4.69551497790234
2,0.82,2.75631219491833,3.40397364986759,4.46995160028411
2,0.83,2.61568507688621,3.22870795684852,4.2420230191856
2,0.84,2.47194100705621,3.05182664099374,4.01172371491355
2,0.85,2.32849830435445,2.87508939721628,3.77904816424318
2,0.86,2.18359423019644,2.69650403267785,3.54207202599474
2,0.87,2.03586820206326,2.51606652540097,3.30476026124638
2,0.88,1.88813498007807,2.33235300257459,3.06340435179715
2,0.89,1.73777904592096,2.14831435979635,2.82143679129607
2,0.9,1.58615697923734,1.96122363458804,2.57706661289187
2,0.91,1.434215052125,1.77249821474826,2.3290409719423
2,0.92,1.27995296197757,1.58213563505415,2.0788739777419
2,0.93,1.12442028084724,1.39097036239353,1.82753595396002
2,0.94,0.968251203316842,1.19792698122157,1.57293757518132
2,0.95,0.810068310534271,1.00240083571309,1.31618605861419
2,0.96,0.650610331428076,0.805226667138449,1.0578377892188
2,0.97,0.489875891483964,0.606763793589048,0.797050612999328
2,0.98,0.328077124388331,0.406165995864059,0.534100397554088
2,0.99,0.164786057513558,0.203912230055733,0.2681372848308
3,0,7.24280267282072,8.94093547405989,11.8587950360066
3,0.01,7.20855725418214,8.89309422044822,11.7944246390817
3,0.02,7.17914107409965,8.85075237536091,11.7289456603654
3,0.03,7.14327980182995,8.8074441307947,11.6623593706241
3,0.04,7.10663460374715,8.75690722681985,11.5873210497961
3,0.05,7.0692064215305,8.71171876312443,11.5113046988133
3,0.06,7.03642965604927,8.66556567596996,11.4487472293196
3,0.07,6.99739147892625,8.61844836593637,11.3706502141067
3,0.08,6.95757265666191,8.56431312213175,11.2986707820464
3,0.09,6.91697399259508,8.51532076378774,11.2255911677662
3,0.1,6.88084380067992,8.45941888661568,11.1514122695341
3,0.11,6.83863992992947,8.40266271488941,11.0761349395186
3,0.12,6.80081227401076,8.35088890146509,11.0065968394269
3,0.13,6.75700495466276,8.29815348884013,10.929060235019
3,0.14,6.71748032078451,8.24445663606977,10.8504271689391
3,0.15,6.67207109727791,8.1841245631071,10.7706983243074
3,0.16,6.62588603230247,8.12855970349934,10.6964523714173
3,0.17,6.57892570257014,8.07203402309907,10.6144677572521
3,0.18,6.53605523826887,8.01454756669727,10.5313888633918
3,0.19,6.48749604379037,7.95610035300518,10.4472162236401
3,0.2,6.43816291337322,7.89129637267336,10.361950336909
3,0.21,6.38805632934088,7.83098365599779,10.2755916682441
3,0.22,6.33717675185414,7.76971039976157,10.1943193955884
3,0.23,6.29013897102973,7.70225172601545,10.1057083998574
3,0.24,6.23766344841246,7.63911408736962,10.0160055119721
3,0.25,6.18441593758076,7.5750159124711,9.93118683100496
3,0.26,6.1303968173872,7.50995705603959,9.84514093919128
3,0.27,6.08001632468781,7.44393735234928,9.75786711254502
3,0.28,6.02440277754604,7.37695661581762,9.6635908794939
3,0.29,5.96801840031379,7.30413810819513,9.57392698475133
3,0.3,5.91086349937602,7.24011120600456,9.47739786961784
3,0.31,5.85713962097011,7.16548734542599,9.37977743839149
3,0.32,5.79839125587263,7.09471960009879,9.28655962301768
3,0.33,5.74296928807823,7.02298991430892,9.18668576827937
3,0.34,5.68262749714931,6.95029799366534,9.08572069014525
3,0.35,5.62151598928631,6.87664352751927,8.98894540870229
3,0.36,5.56357105906453,6.80202618940798,8.88572595627615
3,0.37,5.5008662230769,6.72204924571026,8.78655319100046
3,0.38,5.44122056684742,6.64556623219591,8.68614522422557
3,0.39,5.37692216690741,6.57239345035634,8.579505627543
3,0.4,5.31185450037016,6.49392105819758,8.47669613320753
3,0.41,5.24968214770864,6.41448393907816,8.37264882272233
3,0.42,5.18302062639095,6.33408168018049,8.26736267504943
3,0.43,5.11559000276255,6.2527138555953,8.16083665376591
3,0.44,5.05088845736143,6.17038002666179,8.04843828817035
3,0.45,4.98186347767993,6.08707974229698,7.9440607701599
3,0.46,4.9154558758318,6.0028125393147,7.82932472464984
3,0.47,4.84483593486403,5.92135158437909,7.71790275939689
3,0.48,4.77672060360862,5.83508507128287,7.60523586525943
3,0.49,4.70450501591049,5.74784989459497,7.49132292081558
3,0.5,4.63152016404087,5.65964554642703,7.3761627918417
3,0.51,4.55776608121686,5.57398863846044,7.25975433163546
3,0.52,4.48628678463398,5.48377917844271,7.14613002269445
3,0.53,4.41093593665338,5.39259867731066,7.02318777019414
